asset,asset_type,active_in_refreshed_site,source,licence_or_permission_basis,required_attribution,action,verification_date
Product_picture/Bathroom/Bathroom_scales/Etekcity_digital_body_weight_scale.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Cushions.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Dehumidifiers.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Desk_lamps.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Dhamma_wheel.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Fans.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Kitchen.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Living_room.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Meditation.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Outdoor_Heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Outdoor_lights.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Outdoor_living.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Power_banks.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Scales.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Singingbowls.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Speakers_BT.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Tools_outdoor.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Toothbrushes.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Wireless_Earbuds.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Yogamat.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/chosen-by-real-people.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/coffee_Machines.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/air-fryers-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/air-fryers-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/air-fryers-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/bathroom-scales-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/bathroom-scales-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/bathroom-scales-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/blenders-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/blenders-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/blenders-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/bluetooth-speakers-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/bluetooth-speakers-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/bluetooth-speakers-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/coffee-machines-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/coffee-machines-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/coffee-machines-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/dehumidifiers-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/dehumidifiers-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/dehumidifiers-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/desk-lamps-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/desk-lamps-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/desk-lamps-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/electric-toothbrushes-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/electric-toothbrushes-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/electric-toothbrushes-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/fans-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/fans-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/fans-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/garden-tools-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/garden-tools-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/garden-tools-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/heaters-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/heaters-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/heaters-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/meditation-blankets-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/meditation-blankets-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/meditation-blankets-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/meditation-cushions-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/meditation-cushions-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/meditation-cushions-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/outdoor-lights-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/outdoor-lights-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/outdoor-lights-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/patio-heaters-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/patio-heaters-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/patio-heaters-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/power-banks-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/power-banks-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/power-banks-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/shower-heads-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/shower-heads-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/shower-heads-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/singing-bowls-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/singing-bowls-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/singing-bowls-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/wireless-earbuds-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/wireless-earbuds-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/wireless-earbuds-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/yoga-mats-1.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/yoga-mats-2.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/product-illustrations/yoga-mats-3.svg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/shower heads.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/tech_Hero.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?q=80&w=1200&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?q=80&w=1200&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=1200&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=1200&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1519389950473-47ba0277781c?q=80&w=1200&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1519389950473-47ba0277781c?q=80&w=1200&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1556911220-e15b29be8c8f?q=80&w=1200&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1556911220-e15b29be8c8f?q=80&w=1200&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1593810450967-f9c42742e326?q=80&w=1200&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1593810450967-f9c42742e326?q=80&w=1200&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1597307509190-e33cb9fb3ff7?q=80&w=1170&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1597307509190-e33cb9fb3ff7?q=80&w=1170&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?q=80&w=1170&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?q=80&w=1170&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1615874959474-d609969a20ed?q=80&w=1200&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1615874959474-d609969a20ed?q=80&w=1200&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://images.unsplash.com/photo-1637029436347-e33bf98a5412?q=80&w=880&auto=format&fit=crop,legacy remote image reference,No,https://images.unsplash.com/photo-1637029436347-e33bf98a5412?q=80&w=880&auto=format&fit=crop,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Air_Fryers.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Air_Fryers.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Blankets.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Blankets.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Blenders.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Blenders.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Cushions.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Cushions.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Dehumidifiers.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Dehumidifiers.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Desk_lamps.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Desk_lamps.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Fans.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Fans.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Heaters.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Heaters.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Outdoor_Heaters.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Outdoor_Heaters.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Outdoor_lights.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Outdoor_lights.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Power_banks.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Power_banks.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Scales.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Scales.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Singingbowls.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Singingbowls.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Speakers_BT.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Speakers_BT.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Tools_outdoor.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Tools_outdoor.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Toothbrushes.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Toothbrushes.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Wireless_Earbuds.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Wireless_Earbuds.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/Yogamat.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/Yogamat.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/chosen-by-real-people.png,legacy remote image reference,No,https://www.top3choices.co.uk/images/chosen-by-real-people.png,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/coffee_Machines.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/coffee_Machines.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
https://www.top3choices.co.uk/images/shower%20heads.jpg,legacy remote image reference,No,https://www.top3choices.co.uk/images/shower%20heads.jpg,No reusable licence or permission record supplied with project,Unknown / not relied upon,Reference removed; replaced with CSS-only visual treatment,2026-08-18
CSS product number panels,generated CSS visual,Yes,Original site CSS written during refresh,No third-party image asset,None,Used instead of product imagery,2026-08-18
CSS category/hero gradients,generated CSS visual,Yes,Original site CSS written during refresh,No third-party image asset,None,Used instead of legacy/remote photography,2026-08-18
